16ED1	\u{044C}
16F07	\u{0413}
16F08	\u{0474}
16F0A	\u{0422}
16F1C	\u{A658}
16F28	\u{04CF}
16F2D	\u{0510}
16F3A	\u{0405}
16F3B	\u{0417}
16F3D	\u{041B}
16F40	\u{0410}
16F43	\u{0423}
1CCD6	\u{0410}
1CCD7	\u{0412}
1CCD8	\u{0421}
1CCDA	\u{0415}
1CCDC	\u{050C}
1CCDD	\u{041D}
1CCDE	\u{04CF}
1CCDF	\u{0408}
1CCE0	\u{041A}
1CCE2	\u{041C}
1CCE4	\u{041E}
1CCE5	\u{0420}
1CCE8	\u{0405}
1CCE9	\u{0422}
1CCEB	\u{0474}
1CCEC	\u{051C}
1CCED	\u{0425}
1CCEE	\u{0423}
1CCF0	\u{041E}
1CCF1	\u{04CF}
1CCF2	\u{A644}
1CCF3	\u{0417}
1CCF6	\u{0431}
1D202	\u{04FE}
1D206	\u{0417}
1D20B	\u{0418}
1D20D	\u{0474}
1D21A	\u{0472}
1D221	\u{0510}
1D222	\u{0460}
1D400	\u{0410}
1D401	\u{0412}
1D402	\u{0421}
1D404	\u{0415}
1D406	\u{050C}
1D407	\u{041D}
1D408	\u{0406}
1D409	\u{0408}
1D40A	\u{041A}
1D40C	\u{041C}
1D40E	\u{041E}
1D40F	\u{0420}
1D412	\u{0405}
1D413	\u{0422}
1D415	\u{0474}
1D416	\u{051C}
1D417	\u{0425}
1D418	\u{0423}
1D41A	\u{0430}
1D41B	\u{044C}
1D41C	\u{0441}
1D41D	\u{0501}
1D41E	\u{0435}
1D421	\u{04BB}
1D422	\u{0456}
1D423	\u{0458}
1D425	\u{04CF}
1D428	\u{043E}
1D429	\u{0440}
1D42A	\u{051B}
1D42B	\u{0433}
1D42C	\u{0455}
1D42F	\u{0475}
1D430	\u{0448}
1D431	\u{0445}
1D432	\u{0443}
1D434	\u{0410}
1D435	\u{0412}
1D436	\u{0421}
1D438	\u{0415}
1D43A	\u{050C}
1D43B	\u{041D}
1D43C	\u{0406}
1D43D	\u{0408}
1D43E	\u{041A}
1D440	\u{041C}
1D442	\u{041E}
1D443	\u{0420}
1D446	\u{0405}
1D447	\u{0422}
1D449	\u{0474}
1D44A	\u{051C}
1D44B	\u{0425}
1D44C	\u{0423}
1D44E	\u{0430}
1D44F	\u{044C}
1D450	\u{0441}
1D451	\u{0501}
1D452	\u{0435}
1D456	\u{0456}
1D457	\u{0458}
1D459	\u{04CF}
1D45C	\u{043E}
1D45D	\u{0440}
1D45E	\u{051B}
1D45F	\u{0433}
1D460	\u{0455}
1D463	\u{0475}
1D464	\u{0448}
1D465	\u{0445}
1D466	\u{0443}
1D468	\u{0410}
